id,cleabs,code_insee,nom_commune,iris,code_iris,nom_iris,type_iris,area_km2,bin_count,trilib_count,green_area_m2,CODE_IRIS,COM,P22_POP,P22_PMEN,bin_density,population_density,trilib_density,green_ratio,arrondissement_code,distance_to_paris_centroid_m
iris_ge.808,IRIS____0000000751156021,75115,Paris 15e Arrondissement,6021,751156021,Javel 21,A,0.1251154248003967,4,0,1422.7568787677176,751156021,75115,131.895676795652,131.895676795652,31.97047851119407,1054.1919751786977,0.0,0.011371554554824215,15,5468.031824883332
iris_ge.809,IRIS____0000000751156022,75115,Paris 15e Arrondissement,6022,751156022,Javel 22,A,0.034501359287063285,1,0,3440.633770346153,751156022,75115,974.825616807277,940.825644580065,28.984365273253523,28254.701755266786,0.0,0.09972458597120437,15,4632.610754739279
iris_ge.810,IRIS____0000000751166131,75116,Paris 16e Arrondissement,6131,751166131,Auteuil 31,A,0.3686208024946499,4,0,38605.021904413195,751166131,75116,41.0359694622198,12.0358997096801,10.851259540779864,111.32298878551596,0.0,0.10472827806556985,16,6719.127719867565
iris_ge.811,IRIS____0000000751166222,75116,Paris 16e Arrondissement,6222,751166222,Muette 22,A,0.048155374892506625,1,0,0.0,751166222,75116,0.0,0.0,20.76611390176527,0.0,0.0,0.0,16,4765.860595375473
iris_ge.812,IRIS____0000000751166223,75116,Paris 16e Arrondissement,6223,751166223,Muette 23,A,0.09870707807020838,0,0,27995.478941540077,751166223,75116,102.630542456055,102.630542456055,0.0,1039.748561729848,0.0,0.28362179783730856,16,5386.462906095209
iris_ge.813,IRIS____0000000751166410,75116,Paris 16e Arrondissement,6410,751166410,Chaillot 10,A,0.14455752558844628,2,0,45675.45984207625,751166410,75116,90.2067912849837,84.2067768534237,13.835322594646358,624.0200288278415,0.0,0.3159673607869699,16,3829.091359710219
iris_ge.814,IRIS____0000000751166411,75116,Paris 16e Arrondissement,6411,751166411,Chaillot 11,A,0.035005430446203405,1,0,0.0,751166411,75116,348.259893143442,348.259893143442,28.566996241820455,9948.7390586055,0.0,0.0,16,3805.5962925192243
iris_ge.815,IRIS____0000000751166412,75116,Paris 16e Arrondissement,6412,751166412,Chaillot 12,A,0.10227337317196308,4,0,0.0,751166412,75116,727.586745645544,725.586740835024,39.11086410804477,7114.136583939352,0.0,0.0,16,3880.943078511851
iris_ge.816,IRIS____0000000751166413,75116,Paris 16e Arrondissement,6413,751166413,Chaillot 13,A,0.03776795472047407,0,0,0.0,751166413,75116,178.89351735465,178.89351735465,0.0,4736.6482691124265,0.0,0.0,16,4782.103268508446
iris_ge.817,IRIS____0000000751176516,75117,Paris 17e Arrondissement,6516,751176516,Ternes 16,A,0.055134543600061675,0,0,0.0,751176516,75117,4.00000131065016,0.0,0.0,72.54982175359271,0.0,0.0,17,5033.598492846295
iris_ge.818,IRIS____0000000751186929,75118,Paris 18e Arrondissement,6929,751186929,Grandes Carrières 29,A,0.13433300215315802,0,0,9808.680154574122,751186929,75118,382.217651433938,382.217651433938,0.0,2845.2997052664505,0.0,0.07301765014818089,18,4829.658674353922
iris_ge.819,IRIS____0000000751197318,75119,Paris 19e Arrondissement,7318,751197318,Villette 18,A,0.027985051723419713,5,0,0.0,751197318,75119,638.864237657962,638.864237657962,178.66681289052877,22828.767442417084,0.0,0.0,19,3739.347247413472
iris_ge.820,IRIS____0000000751197412,75119,Paris 19e Arrondissement,7412,751197412,Pont de Flandre 12,A,0.4833925499406894,15,0,0.0,751197412,75119,339.758147431895,339.758147431895,31.03068096899807,702.861778638463,0.0,0.0,19,5413.296325983336
iris_ge.821,IRIS____0000000751197413,75119,Paris 19e Arrondissement,7413,751197413,Pont de Flandre 13,A,0.28463738577428926,30,2,23532.30728580945,751197413,75119,2279.35195396983,2279.35195396983,105.39725805305594,8007.914869543182,7.026483870203729,0.0826746887862089,19,5163.566560115854
iris_ge.822,IRIS____0000000751197525,75119,Paris 19e Arrondissement,7525,751197525,Amérique 25,A,0.14103609125797098,2,0,18578.66642521735,751197525,75119,472.639609002124,414.639744432691,14.18076736359471,3351.1961710397422,0.0,0.1317298732509175,19,5180.972584973161
iris_ge.823,IRIS____0000000751207917,75120,Paris 20e Arrondissement,7917,751207917,Père Lachaise 17,A,0.08283511392233471,2,0,8133.176785580564,751207917,75120,4.99999776767901,4.99999776767901,24.14435020727053,60.36084856920644,0.0,0.09818513430434997,20,4408.868860124537
iris_ge.849,IRIS____0000000751051809,75105,Paris 5e Arrondissement,1809,751051809,Jardin des Plantes,D,0.24514054067230318,32,0,0.0,751051809,75105,4.00003171919644,0.0,130.53736404529138,16.317299897545578,0.0,0.0,05,1872.9473194925686
iris_ge.853,IRIS____0000000751051899,75105,Paris 5e Arrondissement,1899,751051899,Seine et Berges 2,D,0.05370926749323751,0,0,13261.764514653576,751051899,75105,70.3338910625371,0.0,0.0,1309.5298883268663,0.0,0.24691762024725722,05,1923.7227495631207
